,Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State,timestamp
0,2020-01-01,148,N424RP,DA42/A,8500.0,SBA,green,False,Santa Barbara,California,2020-01-01 01:48:00
1,2020-01-01,155,AMF1829,B190,40000.0,SSF,green,False,San Antonio,Texas,2020-01-01 01:55:00
2,2020-01-01,214,NKS1881,A320,2500.0,TPA,green,False,Tampa,Florida,2020-01-01 02:14:00
3,2020-01-01,217,FDX3873,B763,3000.0,DFW,green,False,Fort Worth ,Texas,2020-01-01 02:17:00
4,2020-01-01,218,SWA3635,B739,11000.0,MOD,green,False,Modesto,California,2020-01-01 02:18:00
5,2020-01-01,239,PCOP1,HELO,1200.0,MDW,green,False,Chicago,Illinois,2020-01-01 02:39:00
6,2020-01-01,243,AAL473,A320,22000.0,DEN,green,False,Denver,Colorado,2020-01-01 02:43:00
7,2020-01-01,310,SWA6092,B737,11000.0,SNS,green,False,Salinas,California,2020-01-01 03:10:00
8,2020-01-01,325,DAL930,A319,5000.0,MYF,green,False,San Diego,California,2020-01-01 03:25:00
9,2020-01-01,435,DAL1211,A320,7500.0,LAX,green,False,Los Angeles,California,2020-01-01 04:35:00
10,2020-01-01,437,UAL309,B753,10000.0,LAX,green,False,Los Angeles,California,2020-01-01 04:37:00
11,2020-01-01,505,ASQ4195,E145,10000.0,,green,False,Jacksonville,Florida,2020-01-01 05:05:00
12,2020-01-01,510,QXE2564,E75L,3500.0,SNA,purple,False,Santa Ana,California,2020-01-01 05:10:00
13,2020-01-01,550,ENY4136,E145,12000.0,DLH,green,False,Duluth,Minnesota,2020-01-01 05:50:00
14,2020-01-01,600,CKS1820,B767,16000.0,SBA,green,False,Santa Barbara,California,2020-01-01 06:00:00
15,2020-01-01,605,PAC997,B747,17000.0,SBA,green,False,Santa Barbara,California,2020-01-01 06:05:00
16,2020-01-01,658,DAL8838,B757,11500.0,HKY,green,False,Hickory,North Carolina,2020-01-01 06:58:00
17,2020-01-01,805,N736UG,C172,2500.0,YKM,green,False,Yakima,Washington,2020-01-01 08:05:00
18,2020-01-01,903,N85PH,BE9L,10000.0,MAF,green,False,Midland,Texas,2020-01-01 09:03:00
19,2020-01-01,1020,N232HH,R44,1500.0,OGG,green,False,Kahului,Hawaii,2020-01-01 10:20:00
20,2020-01-01,2325,UCA5007,E45X,10000.0,CLE,green,False,Cleveland,Ohio,2020-01-01 23:25:00
21,2020-01-02,14,JIA5416,CRJ2,1700.0,CAK,green,False,North Canton,Ohio,
22,2020-01-02,20,N6234W,P28A,6000.0,GSP,green,False,Greer,South Carolina,
23,2020-01-02,45,N11QT,PA30,2000.0,LOU,green,False,Louisville,Kentucky,
24,2020-01-02,210,UAL2429,B737,17000.0,DEN,blue,False,Denver,Colorado,2020-01-02 02:10:00
25,2020-01-02,230,AMF3921,SW4,2700.0,BUR,green,False,Burbank,California,2020-01-02 02:30:00
26,2020-01-02,234,SWA2055,B737,3000.0,BWI,green,False,Baltimore,Maryland,2020-01-02 02:34:00
27,2020-01-02,255,UAL717,B739,34000.0,DEN,green,False,Denver,Colorado,2020-01-02 02:55:00
28,2020-01-02,310,SWA55,B737,2000.0,HOU,green,False,Houston,Texas,2020-01-02 03:10:00
29,2020-01-02,329,SWA6742,B737,35000.0,ECP,green,False,Panama City,Florida,2020-01-02 03:29:00
30,2020-01-02,345,DAL1608,B737,24000.0,DEN,green,False,Denver,Colorado,2020-01-02 03:45:00
31,2020-01-02,400,AAL2381,B738,12500.0,MSP,green,False,Minneapolis,Minnesota,2020-01-02 04:00:00
32,2020-01-02,512,ASA1778,A320,14500.0,LAX,green,False,Los Angeles,California,2020-01-02 05:12:00
33,2020-01-02,520,SWA4994,B737,6000.0,SMO,green,False,Santa Monica,California,2020-01-02 05:20:00
34,2020-01-02,551,SWA1369,B737,10500.0,AUS,blue,False,Austin,Texas,2020-01-02 05:51:00
35,2020-01-02,741,UAL351,B739,26000.0,STS,green,False,Santa Rosa,California,2020-01-02 07:41:00
36,2020-01-02,2330,N47A,C206,3500.0,FLL,green,False,Fort Lauderdale,Florida,2020-01-02 23:30:00
37,2020-01-02,2330,NORSTA7,B407,12000.0,JQF,unknown,False,Concord,North Carolina,2020-01-02 23:30:00
38,2020-01-03,105,ASQ4389,E145,3800.0,ORD,green,False,Chicago,Illinois,2020-01-03 01:05:00
39,2020-01-03,110,SWA4380,B737,13000.0,SAT,red,False,San Antonio,Texas,2020-01-03 01:10:00
40,2020-01-03,143,N4637G,C172,1000.0,SBA,green,False,Santa Barbara,California,2020-01-03 01:43:00
41,2020-01-03,159,EDV5402,CRJ9,3000.0,BOS,green,False,Boston,Massachusetts,2020-01-03 01:59:00
42,2020-01-03,219,SKW5724,E75L/L,23000.0,SBP,green,False,San Luis Obispo,California,2020-01-03 02:19:00
43,2020-01-03,253,SWA2340,B737,33000.0,DEN,green,False,Denver,Colorado,2020-01-03 02:53:00
44,2020-01-03,258,NKS754,A320,8000.0,ISM,green,False,Kissimmee,Florida,2020-01-03 02:58:00
45,2020-01-03,303,NKS1672,A320,8000.0,ISM,green,False,Kissimmee,Florida,2020-01-03 03:03:00
46,2020-01-03,305,SWA457,B737,8000.0,ISM,green,False,Kissimmee,Florida,2020-01-03 03:05:00
47,2020-01-03,316,ASA1962,A320,8500.0,SFO,green,False,San Francisco,California,2020-01-03 03:16:00
48,2020-01-03,333,SWA9004,B738,3000.0,OAK,green,False,Oakland,California,2020-01-03 03:33:00
49,2020-01-03,412,SWA1615,B737,8500.0,DAL,green,False,Dallas,Texas,2020-01-03 04:12:00
50,2020-01-03,750,DAL8932,B752,5000.0,LAX,green,False,Los Angeles,California,2020-01-03 07:50:00
51,2020-01-03,900,LN591AW,BE9L,7000.0,ELP,green,False,El Paso,Texas,2020-01-03 09:00:00
52,2020-01-03,2120,RPA4522,E175,4000.0,LGA,green,False,Queens,New York,2020-01-03 21:20:00
53,2020-01-03,2319,BEZ323,C208,1300.0,SJU,green,False,Carolina,Puerto Rico,2020-01-03 23:19:00
54,2020-01-04,24,NK179S,A320,34000.0,LIT,blue,False,Little Rock,Arkansas,
55,2020-01-04,55,N988QC,LJ35,3000.0,TPA,green,False,Tampa,Florida,
56,2020-01-04,101,N13686,C172,5000.0,BOI,green,False,Boise,Idaho,2020-01-04 01:01:00
57,2020-01-04,110,N161AP,C172,3000.0,FSM,green,False,Fort Smith,Arkansas,2020-01-04 01:10:00
58,2020-01-04,114,SCX8131,B738,1000.0,MFE,green,False,McAllen,Texas,2020-01-04 01:14:00
59,2020-01-04,130,SWA2485,B737,2500.0,DAL,green,False,Dallas,Texas,2020-01-04 01:30:00
60,2020-01-04,145,ASH6318,E175,2000.0,IAH,green,False,Houston,Texas,2020-01-04 01:45:00
61,2020-01-04,153,SCX663,B738,40000.0,TUS,green,False,Tucson,Arizona,2020-01-04 01:53:00
62,2020-01-04,200,FDX3713,B767,4300.0,SAN,green,False,San Diego,California,2020-01-04 02:00:00
63,2020-01-04,225,UPS301,A306,12000.0,AUS,green,False,Austin,Texas,2020-01-04 02:25:00
64,2020-01-04,238,AAL2300,B737,6000.0,DFW,green,False,Fort Worth,Texas,2020-01-04 02:38:00
65,2020-01-04,247,AJT882,B763,5000.0,SMF,green,False,Sacramento,California,2020-01-04 02:47:00
66,2020-01-04,250,PDT4986,E145,9000.0,MGM,green,False,Montgomery,Alabama,2020-01-04 02:50:00
67,2020-01-04,300,ASA834,B739,10000.0,PDX,green,False,Portland,Oregon,2020-01-04 03:00:00
68,2020-01-04,307,N999VB,BE20,16000.0,IAH,green,False,Houston,Texas,2020-01-04 03:07:00
69,2020-01-04,325,CHASE2,HELO,3300.0,ORL,green,False,Orlando,Florida,2020-01-04 03:25:00
70,2020-01-04,355,N4336X,P28A,3200.0,TUS,green,False,Tucson,Arizona,2020-01-04 03:55:00
71,2020-01-04,402,AAL633,A21N,0.0,ELP,unknown,False,El Paso,Texas,2020-01-04 04:02:00
72,2020-01-04,404,CPZ5734,E175,4100.0,SJC,green,False,San Jose,California,2020-01-04 04:04:00
73,2020-01-04,430,SWA2012,B737,5500.0,TKI,blue,False,McKinney,Texas,2020-01-04 04:30:00
74,2020-01-04,543,UAL2046,B737,10000.0,GEG,green,False,Spokane,Washington,2020-01-04 05:43:00
75,2020-01-04,658,FRBD9,HELO,2000.0,PHX,green,False,Phoenix,Arizona,2020-01-04 06:58:00
76,2020-01-04,705,JIA5157,CRJ2,7000.0,CRW,green,False,Charleston,West Virginia,2020-01-04 07:05:00
77,2020-01-04,1028,CMD13,EC35,6000.0,FAT,green,False,Fresno,California,2020-01-04 10:28:00
78,2020-01-04,1131,ASH6114,E175/L,28000.0,OKC,green,False,Oklahoma City,Oklahoma,2020-01-04 11:31:00
79,2020-01-04,2330,UAL1070,B737,5000.0,MMU,white,False,Morristown,New Jersey,2020-01-04 23:30:00
80,2020-01-05,45,UAL1127,A320,7500.0,DEN,green,False,Denver,Colorado,
81,2020-01-05,55,ASH5966,CRJ9,8000.0,DFW,green,False,Fort Worth,Texas,
82,2020-01-05,103,LN11XF,HELO,1200.0,LFT,green,False,Lafayette,Louisiana,2020-01-05 01:03:00
83,2020-01-05,115,UAL1013,B738/L,30000.0,DEN,green,False,Denver,Colorado,2020-01-05 01:15:00
84,2020-01-05,201,FDX3713,B763,4500.0,SAN,green,False,San Diego  ,California,2020-01-05 02:01:00
85,2020-01-05,215,XLS972,E135,38000.0,ABI,unknown,False,Abilene,Texas,2020-01-05 02:15:00
86,2020-01-05,218,AAL2785,B738/L,14000.0,LAX,green,False,Los Angeles,California,2020-01-05 02:18:00
87,2020-01-05,302,EJA374,E55P,2400.0,FTW,green,False,Fort Worth,Texas,2020-01-05 03:02:00
88,2020-01-05,340,ENY4143,E145,33000.0,OMN,green and white,False,Ormond Beach,Florida,2020-01-05 03:40:00
89,2020-01-05,427,EDV4818,CRJ2,5000.0,MOB,blue,False,Mobile,Alabama,2020-01-05 04:27:00
