city,state_id,lat,lng,population,timezone,military
New York,NY,40.6943,-73.9249,18713220,America/New_York,False
Los Angeles,CA,34.1139,-118.4068,12750807,America/Los_Angeles,False
Chicago,IL,41.8373,-87.6862,8604203,America/Chicago,False
Miami,FL,25.7839,-80.2102,6445545,America/New_York,False
Dallas,TX,32.7936,-96.7662,5743938,America/Chicago,False
Philadelphia,PA,40.0077,-75.1339,5649300,America/New_York,False
Houston,TX,29.7863,-95.3889,5464251,America/Chicago,False
Atlanta,GA,33.7627,-84.4224,5449398,America/New_York,False
Washington,DC,38.9047,-77.0163,5379184,America/New_York,False
Boston,MA,42.3188,-71.0846,4688346,America/New_York,False
Phoenix,AZ,33.5722,-112.0891,4219697,America/Phoenix,False
Seattle,WA,47.6211,-122.3244,3789215,America/Los_Angeles,False
San Francisco,CA,37.7562,-122.443,3592294,America/Los_Angeles,False
Detroit,MI,42.3834,-83.1024,3506126,America/Detroit,False
San Diego,CA,32.8312,-117.1225,3220118,America/Los_Angeles,False
Minneapolis,MN,44.9635,-93.2678,2977172,America/Chicago,False
Tampa,FL,27.9942,-82.4451,2908063,America/New_York,False
Denver,CO,39.7621,-104.8759,2876625,America/Denver,False
Brooklyn,NY,40.6501,-73.9496,2559903,America/New_York,False
Queens,NY,40.7498,-73.7976,2230722,America/New_York,False
Riverside,CA,33.9381,-117.3948,2107852,America/Los_Angeles,False
Baltimore,MD,39.3051,-76.6144,2106068,America/New_York,False
Las Vegas,NV,36.2333,-115.2654,2104198,America/Los_Angeles,False
Portland,OR,45.5372,-122.65,2074775,America/Los_Angeles,False
San Antonio,TX,29.4658,-98.5253,2049293,America/Chicago,False
St. Louis,MO,38.6358,-90.2451,2024074,America/Chicago,False
Sacramento,CA,38.5667,-121.4683,1898019,America/Los_Angeles,False
Orlando,FL,28.4772,-81.3369,1822394,America/New_York,False
San Jose,CA,37.3019,-121.8486,1798103,America/Los_Angeles,False
Cleveland,OH,41.4767,-81.6804,1710093,America/New_York,False
Pittsburgh,PA,40.4396,-79.9762,1703266,America/New_York,False
Austin,TX,30.3004,-97.7522,1687311,America/Chicago,False
Cincinnati,OH,39.1413,-84.5061,1662691,America/New_York,False
Kansas City,MO,39.1239,-94.5541,1636715,America/Chicago,False
Manhattan,NY,40.7834,-73.9662,1628706,America/New_York,False
Indianapolis,IN,39.7771,-86.1458,1588961,America/Indiana/Indianapolis,False
Columbus,OH,39.9862,-82.985,1562009,America/New_York,False
Charlotte,NC,35.208,-80.8304,1512923,America/New_York,False
Virginia Beach,VA,36.7335,-76.0435,1478868,America/New_York,False
Bronx,NY,40.8501,-73.8662,1418207,America/New_York,False
Milwaukee,WI,43.0642,-87.9673,1365787,America/Chicago,False
Providence,RI,41.823,-71.4187,1203230,America/New_York,False
Jacksonville,FL,30.3322,-81.6749,1181496,America/New_York,False
Salt Lake City,UT,40.7777,-111.9306,1098526,America/Denver,False
Nashville,TN,36.1715,-86.7843,1081903,America/Chicago,False
Richmond,VA,37.5295,-77.4756,1075798,America/New_York,False
Memphis,TN,35.1046,-89.9773,1066967,America/Chicago,False
Raleigh,NC,35.8325,-78.6435,1038738,America/New_York,False
New Orleans,LA,30.0687,-89.9288,1020886,America/Chicago,False
Louisville,KY,38.1663,-85.6485,1005654,America/New_York,False
Oklahoma City,OK,35.4676,-97.5136,972943,America/Chicago,False
Bridgeport,CT,41.1918,-73.1953,924449,America/New_York,False
Buffalo,NY,42.9016,-78.8487,914341,America/New_York,False
Fort Worth,TX,32.7811,-97.3473,909585,America/Chicago,False
Hartford,CT,41.7661,-72.6834,905152,America/New_York,False
Tucson,AZ,32.1545,-110.8782,888486,America/Phoenix,False
Omaha,NE,41.2627,-96.0522,847819,America/Chicago,False
El Paso,TX,31.8479,-106.4309,843386,America/Denver,False
Honolulu,HI,21.3294,-157.846,820987,Pacific/Honolulu,False
McAllen,TX,26.2273,-98.2471,804114,America/Chicago,False
Albuquerque,NM,35.1053,-106.6464,761195,America/Denver,False
Birmingham,AL,33.5277,-86.7987,739573,America/Chicago,False
Sarasota,FL,27.3386,-82.5431,722243,America/New_York,False
Dayton,OH,39.7797,-84.1998,718353,America/New_York,False
Rochester,NY,43.168,-77.6162,703952,America/New_York,False
Fresno,CA,36.7831,-119.7941,703498,America/Los_Angeles,False
Allentown,PA,40.5961,-75.4756,683794,America/New_York,False
Tulsa,OK,36.1284,-95.9042,671033,America/Chicago,False
Cape Coral,FL,26.6446,-81.9956,668382,America/New_York,False
Concord,CA,37.9722,-122.0016,652308,America/Los_Angeles,False
Colorado Springs,CO,38.8674,-104.7606,642413,America/Denver,False
Charleston,SC,32.8153,-79.9628,628377,America/New_York,False
Springfield,MA,42.1155,-72.5395,623401,America/New_York,False
Grand Rapids,MI,42.962,-85.6562,609314,America/Detroit,False
Mission Viejo,CA,33.6095,-117.655,590249,America/Los_Angeles,False
Albany,NY,42.6664,-73.7987,586383,America/New_York,False
Knoxville,TN,35.9692,-83.9496,586048,America/New_York,False
Bakersfield,CA,35.3529,-119.0359,579295,America/Los_Angeles,False
Ogden,UT,41.2278,-111.9682,578523,America/Denver,False
Baton Rouge,LA,30.4418,-91.131,570308,America/Chicago,False
Akron,OH,41.0798,-81.5219,565208,America/New_York,False
New Haven,CT,41.3112,-72.9246,564830,America/New_York,False
Columbia,SC,34.0376,-80.9037,560041,America/New_York,False
Mesa,AZ,33.4017,-111.718,518012,America/Phoenix,False
Palm Bay,FL,27.955,-80.6627,507002,America/New_York,False
Provo,UT,40.2457,-111.6457,500617,America/Denver,False
Worcester,MA,42.2705,-71.8079,498328,America/New_York,False
Murrieta,CA,33.572,-117.1909,496046,America/Los_Angeles,False
Greenville,SC,34.8353,-82.3647,484465,America/New_York,False
Wichita,KS,37.6896,-97.3442,482249,America/Chicago,False
Toledo,OH,41.6639,-83.5822,482111,America/New_York,False
Staten Island,NY,40.5834,-74.1496,476143,America/New_York,False
Des Moines,IA,41.5725,-93.6105,473957,America/Chicago,False
Long Beach,CA,33.7981,-118.1675,462628,America/Los_Angeles,False
Port St. Lucie,FL,27.2796,-80.3883,461152,America/New_York,False
Denton,TX,33.2176,-97.1419,457177,America/Chicago,False
Madison,WI,43.0826,-89.3931,447245,America/Chicago,False
Reno,NV,39.5497,-119.8483,445020,America/Los_Angeles,False
Harrisburg,PA,40.2752,-76.8843,442289,America/New_York,False
Little Rock,AR,34.7256,-92.3576,439815,America/Chicago,False
Oakland,CA,37.7903,-122.2165,433031,America/Los_Angeles,False
Durham,NC,35.9794,-78.9031,424700,America/New_York,False
Winston-Salem,NC,36.1029,-80.2611,422269,America/New_York,False
Bonita Springs,FL,26.3559,-81.7861,421291,America/New_York,False
Indio,CA,33.7346,-116.2346,417059,America/Los_Angeles,False
Palm Coast,FL,29.5392,-81.246,417007,America/New_York,False
Chattanooga,TN,35.0657,-85.2488,415501,America/New_York,False
Spokane,WA,47.6671,-117.433,412275,America/Los_Angeles,False
Syracuse,NY,43.0409,-76.1438,404223,America/New_York,False
Lancaster,PA,40.0421,-76.3012,401524,America/New_York,False
Arlington,TX,32.6998,-97.125,398854,America/Chicago,False
Stockton,CA,37.9765,-121.3109,397264,America/Los_Angeles,False
Poughkeepsie,NY,41.6949,-73.921,394760,America/New_York,False
Augusta,GA,33.3645,-82.0708,390809,America/New_York,False
Boise,ID,43.6007,-116.2312,389280,America/Boise,False
Oxnard,CA,34.1963,-119.1815,387647,America/Los_Angeles,False
Scranton,PA,41.4044,-75.6649,384250,America/New_York,False
Modesto,CA,37.6374,-121.0028,383134,America/Los_Angeles,False
Kissimmee,FL,28.3042,-81.4164,382720,America/New_York,False
Aurora,CO,39.7087,-104.7273,379289,America/Denver,False
Youngstown,OH,41.0993,-80.6463,378732,America/New_York,False
Fayetteville,AR,36.0713,-94.166,351246,America/Chicago,False
Anaheim,CA,33.839,-117.8572,350365,America/Los_Angeles,False
Pensacola,FL,30.4427,-87.1886,346921,America/Chicago,False
Victorville,CA,34.5277,-117.3536,346789,America/Los_Angeles,False
Lancaster,CA,34.6935,-118.1753,343304,America/Los_Angeles,False
Greensboro,NC,36.0956,-79.8269,343090,America/New_York,False
Corpus Christi,TX,27.726,-97.3755,342464,America/Chicago,False
Fort Wayne,IN,41.0886,-85.1437,334122,America/Indiana/Indianapolis,False
Santa Ana,CA,33.7366,-117.8819,332318,America/Los_Angeles,False
Flint,MI,43.0235,-83.6922,332190,America/Detroit,False
Fayetteville,NC,35.0846,-78.9776,327435,America/New_York,False
Jackson,MS,32.3163,-90.2124,325350,America/Chicago,False
Santa Rosa,CA,38.4458,-122.7067,324634,America/Los_Angeles,False
Lansing,MI,42.7142,-84.5601,324286,America/Detroit,False
San Juan,PR,18.4037,-66.0636,323279,America/Puerto_Rico,False
Lexington,KY,38.0423,-84.4587,323152,America/New_York,False
Ann Arbor,MI,42.2755,-83.7312,322267,America/Detroit,False
Henderson,NV,36.0133,-115.038,320189,America/Los_Angeles,False
Huntsville,AL,34.6988,-86.6412,319249,America/Chicago,False
Mobile,AL,30.6783,-88.1162,315502,America/Chicago,False
