Territory,Population,Population 2010,Code
California,39029342.0,37253956,CA
Texas,30029572.0,25145561,TX
Florida,22244823.0,18801310,FL
New York,19677151.0,19378102,NY
Pennsylvania,12972008.0,12702379,PA
Illinois,12582032.0,12830632,IL
Ohio,11756058.0,11536504,OH
Georgia,10912876.0,9687653,GA
North Carolina,10698973.0,9535483,NC
Michigan,10034113.0,9883640,MI
New Jersey,9261699.0,8791894,NJ
Virginia,8683619.0,8001024,VA
Washington,7785786.0,6724540,WA
Arizona,7359197.0,6392017,AZ
Tennessee,7051339.0,6346105,TN
Massachusetts,6981974.0,6547629,MA
Indiana,6833037.0,6483802,IN
Missouri,6177957.0,5988927,MO
Maryland,6164660.0,5773552,MD
Wisconsin,5892539.0,5686986,WI
Colorado,5839926.0,5029196,CO
Minnesota,5717184.0,5303925,MN
South Carolina,5282634.0,4625364,SC
Alabama,5074296.0,4779736,AL
Louisiana,4590241.0,4533372,LA
Kentucky,4512310.0,4339367,KY
Oregon,4240137.0,3831074,OR
Oklahoma,4019800.0,3751351,OK
Connecticut,3626205.0,3574097,CT
Utah,3380800.0,2763885,UT
Puerto Rico,3221789.0,3725789,PR
Iowa,3200517.0,3046355,IA
Nevada,3177772.0,2700551,NV
Arkansas,3045637.0,2915918,AR
Mississippi,2940057.0,2967297,MS
Kansas,2937150.0,2853118,KS
New Mexico,2113344.0,2059179,NM
Nebraska,1967923.0,1826341,NE
Idaho,1939033.0,1567582,ID
West Virginia,1775156.0,1852994,WV
Hawaii,1440196.0,1360301,HI
New Hampshire,1395231.0,1316470,NH
Maine,1385340.0,1328361,ME
Montana,1122867.0,989415,MT
Rhode Island,1093734.0,1052567,RI
Delaware,1018396.0,897934,DE
South Dakota,909824.0,814180,SD
North Dakota,779261.0,672591,ND
Alaska,733583.0,710231,AK
District of Columbia,671803.0,601723,DC
Vermont,647064.0,625741,VT
Wyoming,581381.0,563626,WY
Guam,,159358,GU
U.S. Virgin Islands,,106405,VI
American Samoa,,55519,AS
Northern Mariana Islands,,53883,MP
